antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Detergent', 'Eggs', 'Chocolate'})","frozenset({'Bread', 'Chips'})",0.1363636363636363,0.1818181818181818,0.109090909090909,0.8,4.4,1.0,0.084297520661157,4.090909090909092,0.894736842105263,0.5217391304347826,0.7555555555555556,0.7
"frozenset({'Detergent', 'Chips'})","frozenset({'Eggs', 'Shampoo', 'Chocolate'})",0.2272727272727272,0.1181818181818181,0.1181818181818181,0.52,4.4,1.0,0.0913223140495867,1.837121212121212,1.0000000000000002,0.5199999999999999,0.4556701030927835,0.76
"frozenset({'Bread', 'Chips'})","frozenset({'Detergent', 'Eggs', 'Chocolate'})",0.1818181818181818,0.1363636363636363,0.109090909090909,0.6,4.4,1.0,0.084297520661157,2.159090909090909,0.9444444444444444,0.5217391304347826,0.5368421052631579,0.7
"frozenset({'Eggs', 'Shampoo', 'Chocolate'})","frozenset({'Detergent', 'Chips'})",0.1181818181818181,0.2272727272727272,0.1181818181818181,1.0,4.4,1.0,0.0913223140495867,inf,0.8762886597938145,0.5199999999999999,1.0,0.76
"frozenset({'Detergent', 'Bread', 'Chocolate'})","frozenset({'Pasta/Noodles', 'Chips'})",0.1363636363636363,0.2,0.1181818181818181,0.8666666666666667,4.333333333333333,1.0,0.0909090909090909,6.000000000000002,0.8906882591093118,0.5416666666666666,0.8333333333333334,0.7287878787878788
"frozenset({'Pasta/Noodles', 'Chips'})","frozenset({'Detergent', 'Bread', 'Chocolate'})",0.2,0.1363636363636363,0.1181818181818181,0.5909090909090908,4.333333333333333,1.0,0.0909090909090909,2.1111111111111107,0.9615384615384616,0.5416666666666666,0.5263157894736841,0.7287878787878788
"frozenset({'Bread', 'Chocolate'})","frozenset({'Detergent', 'Pasta/Noodles', 'Chips'})",0.1909090909090909,0.1454545454545454,0.1181818181818181,0.619047619047619,4.2559523809523805,1.0,0.0904132231404958,2.2431818181818177,0.9455488331892826,0.5416666666666666,0.5542046605876393,0.7157738095238095
"frozenset({'Detergent', 'Pasta/Noodles', 'Chips'})","frozenset({'Bread', 'Chocolate'})",0.1454545454545454,0.1909090909090909,0.1181818181818181,0.8125,4.2559523809523805,1.0,0.0904132231404958,4.315151515151515,0.8952536824877252,0.5416666666666666,0.7682584269662921,0.7157738095238095
"frozenset({'Bread', 'Chips'})","frozenset({'Detergent', 'Pasta/Noodles', 'Chocolate'})",0.1818181818181818,0.1545454545454545,0.1181818181818181,0.65,4.205882352941177,1.0,0.0900826446280991,2.415584415584416,0.9316239316239316,0.5416666666666666,0.5860215053763441,0.7073529411764706
"frozenset({'Detergent', 'Pasta/Noodles', 'Chocolate'})","frozenset({'Bread', 'Chips'})",0.1545454545454545,0.1818181818181818,0.1181818181818181,0.7647058823529412,4.205882352941177,1.0,0.0900826446280991,3.477272727272728,0.901571546732837,0.5416666666666666,0.7124183006535949,0.7073529411764706
